120;124;01.12.2020 06:31:33,399;clean
121;125;01.12.2020 06:31:33,401;clean
122;126;01.12.2020 06:31:33,404;clean
123;127;01.12.2020 06:31:33,406;clean
124;128;01.12.2020 06:31:33,409;clean
125;129;01.12.2020 06:31:33,411;clean
126;130;01.12.2020 06:31:33,414;clean
127;131;01.12.2020 06:31:33,416;clean
128;132;01.12.2020 06:31:33,419;clean
129;133;01.12.2020 06:31:33,421;clean
130;134;01.12.2020 06:31:33,424;clean
131;135;01.12.2020 06:31:33,426;clean
132;136;01.12.2020 06:31:33,429;clean
133;137;01.12.2020 06:31:33,431;clean
134;138;01.12.2020 06:31:33,434;clean
135;139;01.12.2020 06:31:33,436;clean
136;140;01.12.2020 06:31:33,438;clean
137;141;01.12.2020 06:31:33,441;clean
138;142;01.12.2020 06:31:33,443;clean
139;143;01.12.2020 06:31:33,446;clean
140;144;01.12.2020 06:31:33,449;clean
141;145;01.12.2020 06:31:33,453;clean
142;146;01.12.2020 06:31:33,454;clean
143;147;01.12.2020 06:31:33,456;clean
144;148;01.12.2020 06:31:33,459;clean
145;149;01.12.2020 06:31:33,461;clean
146;150;01.12.2020 06:31:33,464;clean
147;151;01.12.2020 06:31:33,466;clean
148;152;01.12.2020 06:31:33,468;clean
149;153;01.12.2020 06:31:33,471;clean
150;154;01.12.2020 06:31:33,473;clean
151;155;01.12.2020 06:31:33,476;clean
152;156;01.12.2020 06:31:33,478;clean
153;157;01.12.2020 06:31:33,480;clean
154;158;01.12.2020 06:31:33,483;clean
155;159;01.12.2020 06:31:33,485;clean
156;160;01.12.2020 06:31:33,488;clean
157;161;01.12.2020 06:31:33,490;clean
158;162;01.12.2020 06:31:33,493;clean
159;163;01.12.2020 06:31:33,495;clean
160;164;01.12.2020 06:31:33,500;prohibited item | knife detected at position 1:9364
160;165;01.12.2020 06:31:33,500;prohibited item | weapon detected at position 4:7648
160;166;01.12.2020 06:31:33,500;clean
161;167;01.12.2020 06:31:33,501;clean
162;168;01.12.2020 06:31:33,503;clean
163;169;01.12.2020 06:31:33,506;clean
164;170;01.12.2020 06:31:33,508;clean
165;171;01.12.2020 06:31:33,510;clean
166;172;01.12.2020 06:31:33,513;clean
167;173;01.12.2020 06:31:33,515;clean
168;174;01.12.2020 06:31:33,518;clean
169;175;01.12.2020 06:31:33,520;clean
170;176;01.12.2020 06:31:33,523;clean
171;177;01.12.2020 06:31:33,525;clean
172;178;01.12.2020 06:31:33,528;clean
173;179;01.12.2020 06:31:33,531;clean
174;180;01.12.2020 06:31:33,533;clean
175;181;01.12.2020 06:31:33,536;clean
176;182;01.12.2020 06:31:33,538;clean
177;183;01.12.2020 06:31:33,541;clean
178;184;01.12.2020 06:31:33,543;clean
179;185;01.12.2020 06:31:33,546;clean
180;186;01.12.2020 06:31:33,548;clean
181;187;01.12.2020 06:31:33,551;clean
182;188;01.12.2020 06:31:33,553;clean
183;189;01.12.2020 06:31:33,556;clean
184;190;01.12.2020 06:31:33,562;clean
185;191;01.12.2020 06:31:33,563;clean
186;192;01.12.2020 06:31:33,564;clean
187;193;01.12.2020 06:31:33,566;clean
188;194;01.12.2020 06:31:33,569;clean
189;195;01.12.2020 06:31:33,572;clean
190;196;01.12.2020 06:31:33,574;clean
191;197;01.12.2020 06:31:33,577;clean
192;198;01.12.2020 06:31:33,579;clean
193;199;01.12.2020 06:31:33,582;clean
194;200;01.12.2020 06:31:33,584;clean
195;201;01.12.2020 06:31:33,587;clean
196;202;01.12.2020 06:31:33,590;clean
197;203;01.12.2020 06:31:33,592;clean
