120;124;02.12.2020 01:00:10,442;clean
121;125;02.12.2020 01:00:10,443;clean
122;126;02.12.2020 01:00:10,445;clean
123;127;02.12.2020 01:00:10,446;clean
124;128;02.12.2020 01:00:10,447;clean
125;129;02.12.2020 01:00:10,449;clean
126;130;02.12.2020 01:00:10,450;clean
127;131;02.12.2020 01:00:10,451;clean
128;132;02.12.2020 01:00:10,453;clean
129;133;02.12.2020 01:00:10,454;clean
130;134;02.12.2020 01:00:10,455;clean
131;135;02.12.2020 01:00:10,456;clean
132;136;02.12.2020 01:00:10,458;clean
133;137;02.12.2020 01:00:10,459;clean
134;138;02.12.2020 01:00:10,460;clean
135;139;02.12.2020 01:00:10,461;clean
136;140;02.12.2020 01:00:10,463;clean
137;141;02.12.2020 01:00:10,464;clean
138;142;02.12.2020 01:00:10,465;clean
139;143;02.12.2020 01:00:10,467;clean
140;144;02.12.2020 01:00:10,468;clean
141;145;02.12.2020 01:00:10,470;clean
142;146;02.12.2020 01:00:10,470;clean
143;147;02.12.2020 01:00:10,472;clean
144;148;02.12.2020 01:00:10,473;clean
145;149;02.12.2020 01:00:10,474;clean
146;150;02.12.2020 01:00:10,476;clean
147;151;02.12.2020 01:00:10,477;clean
148;152;02.12.2020 01:00:10,478;clean
149;153;02.12.2020 01:00:10,479;clean
150;154;02.12.2020 01:00:10,481;clean
151;155;02.12.2020 01:00:10,482;clean
152;156;02.12.2020 01:00:10,483;clean
153;157;02.12.2020 01:00:10,485;clean
154;158;02.12.2020 01:00:10,486;clean
155;159;02.12.2020 01:00:10,487;clean
156;160;02.12.2020 01:00:10,489;clean
157;161;02.12.2020 01:00:10,490;clean
158;162;02.12.2020 01:00:10,491;clean
159;163;02.12.2020 01:00:10,492;clean
160;164;02.12.2020 01:00:10,495;prohibited item | knife detected at position 1:9812
161;165;02.12.2020 01:00:10,495;prohibited item | weapon detected at position 4:4739
160;166;02.12.2020 01:00:10,495;clean
161;167;02.12.2020 01:00:10,495;clean
162;168;02.12.2020 01:00:10,496;clean
163;169;02.12.2020 01:00:10,498;clean
164;170;02.12.2020 01:00:10,499;clean
165;171;02.12.2020 01:00:10,500;clean
166;172;02.12.2020 01:00:10,501;clean
167;173;02.12.2020 01:00:10,503;clean
168;174;02.12.2020 01:00:10,504;clean
169;175;02.12.2020 01:00:10,505;clean
170;176;02.12.2020 01:00:10,506;clean
171;177;02.12.2020 01:00:10,508;clean
172;178;02.12.2020 01:00:10,509;clean
173;179;02.12.2020 01:00:10,510;clean
174;180;02.12.2020 01:00:10,511;clean
175;181;02.12.2020 01:00:10,513;clean
176;182;02.12.2020 01:00:10,514;clean
177;183;02.12.2020 01:00:10,515;clean
178;184;02.12.2020 01:00:10,516;clean
179;185;02.12.2020 01:00:10,518;clean
180;186;02.12.2020 01:00:10,519;clean
181;187;02.12.2020 01:00:10,520;clean
182;188;02.12.2020 01:00:10,522;clean
183;189;02.12.2020 01:00:10,523;clean
184;190;02.12.2020 01:00:10,526;clean
185;191;02.12.2020 01:00:10,527;clean
186;192;02.12.2020 01:00:10,527;clean
187;193;02.12.2020 01:00:10,528;clean
188;194;02.12.2020 01:00:10,530;clean
189;195;02.12.2020 01:00:10,531;clean
190;196;02.12.2020 01:00:10,532;clean
191;197;02.12.2020 01:00:10,533;clean
192;198;02.12.2020 01:00:10,535;clean
193;199;02.12.2020 01:00:10,536;clean
194;200;02.12.2020 01:00:10,537;clean
195;201;02.12.2020 01:00:10,538;clean
196;202;02.12.2020 01:00:10,540;clean
197;203;02.12.2020 01:00:10,541;clean
198;204;02.12.2020 01:00:10,542;clean
199;205;02.12.2020 01:00:10,544;clean
200;206;02.12.2020 01:00:10,545;clean
201;207;02.12.2020 01:00:10,546;clean
202;208;02.12.2020 01:00:10,548;clean
203;209;02.12.2020 01:00:10,549;clean
204;210;02.12.2020 01:00:10,551;clean
205;211;02.12.2020 01:00:10,552;clean
206;212;02.12.2020 01:00:10,553;clean
207;213;02.12.2020 01:00:10,554;clean
208;214;02.12.2020 01:00:10,556;clean
209;215;02.12.2020 01:00:10,561;clean
210;216;02.12.2020 01:00:10,562;clean
211;217;02.12.2020 01:00:10,563;clean
212;218;02.12.2020 01:00:10,565;clean
213;219;02.12.2020 01:00:10,566;clean
214;220;02.12.2020 01:00:10,567;clean
215;221;02.12.2020 01:00:10,569;clean
216;222;02.12.2020 01:00:10,570;clean
217;223;02.12.2020 01:00:10,571;clean
218;224;02.12.2020 01:00:10,572;clean
219;225;02.12.2020 01:00:10,574;clean
220;226;02.12.2020 01:00:10,575;clean
221;227;02.12.2020 01:00:10,576;clean
222;228;02.12.2020 01:00:10,578;clean
223;229;02.12.2020 01:00:10,579;clean
224;230;02.12.2020 01:00:10,580;clean
225;231;02.12.2020 01:00:10,581;clean
226;232;02.12.2020 01:00:10,583;clean
227;233;02.12.2020 01:00:10,584;clean
